url,title,domain,seendate
https://news.google.com/rss/articles/CBMi1gFBVV95cUxPaE50WVdMY09MUWFvRjNYX0hYTDhGVDNFMm5CYVlfd3FqYllhTTFDM0ptQlV1U0dBaW55SHZzLWhyMFZJY2V4MmxJRFg0SElQMl9qNW5FN2FnOUNwX1Z0S05ZNVJwUmpvR0QzeVRfT2xRZlBaaVZERXJqSU8xTDc2ekh1Zm8xUFA0N3d5aXJqTE5CZ1J3d2hTN2NKWGtyUkJIeFpKYUh3Ukp2NEZzRzZUUHVnZU1Rc0ZiQ2cxejh3ZFdlVXZ5OThqd2o2UnYxMHRzSXZBZVhn?oc=5,150 trees cut down so far at East Potomac Park - WUSA9,WUSA9,2026-09-03 07:00:00+00:00
https://news.google.com/rss/articles/CBMickFVX3lxTE5Gc2FFZHNuRkJFQ1B1NUk5c3lIYUNaMkI1bnVoQ2FrUXI3NHVibUIyczczOWJGT2RMc1I1LXR5bEVtOFA0OGI1REFKN2s2dTlBc013S3E3bVdIQ1A2U2NBM19ObEMtTXVfdmJ0Mmtmbm9vdw?oc=5,More trees are up for the chopping blog at East Potomac Park - Potomac Conservancy,Potomac Conservancy,2026-09-01 17:30:08+00:00
https://news.google.com/rss/articles/CBMikAFBVV95cUxNUEl0X1g0UlN5ZlpZWTFmSjctYkp3aWtiSGNSamJXZS13aE5oQVZsc2Z1RVVCSXJCbzZJUzVNTk1oMHcxRTJZMEZJRE9VcVlQQlYzVDYyNkIxUlhnRE1ENHhsRkxNNEI5Uy1hTmtLVWlDaGpZUGhpZlR5UHZpdDdWSG53NFNuSFdqNHN4emEweE8?oc=5,East Potomac Park Golf Course - Journal-News.com,Journal-News.com,2026-09-06 21:40:57+00:00
https://news.google.com/rss/articles/CBMirwFBVV95cUxPalItUGFOYTFMRGozZ3d2TG9GSXRCNWl0amV1azBpZ1ZnT1MwQjFuOFRhaEoxVkhldzgxd2x0LUhYQlRwam1nRXlPdjJUY1lwTXpfWWcyTzZOa2k3Q25ENmNsWE1tOXJJZlg5QXAySS1kWW1mSjFZdzB1SFBnNDNEX2lzcnhBZmZSSTMzV0NIZmFaUE1laGZkVDVaS0Rvbm9uc3JDbTgxdUt6eHRFb044?oc=5,Cyclists protest Trump’s proposed overhaul of East Potomac Park | CNN Politics - CNN,CNN,2026-08-29 07:00:00+00:00
https://news.google.com/rss/articles/CBMi8wFBVV95cUxQckExS1dkUkhyZzk5US1idW9CQnRlRFhaZ1Z3YXRaSS1RcFhGWl8yYzJycHIycjgtZTVOcUl1N2pJMXdtbUU3Qm15bEdTS2ZUbzBYNWhoci1RbE92UEFiSnVWWHRReklDdTNvbjRwNi0zQ0hFLUxiczdBT3FuaDI5bV9TWmRVYWZvNEQ0dUxUejJUcG9ScktmQ1diaHNrMlJ0bkpzY2ZpSWZjNmtFajRfZEdvR2RTTkVsTGdQNHBkajBaR29MS0Q2eWpUM080bk1CRDdjdzNHWGFNOHA2VjRQQzNZMmhZd1FrenJaTFZTV3J5UXc?oc=5,"Press Release: Norton, Raskin, Beyer and Ivey Question Trump Administration’s East Potomac Park Redevelopment Plan | Stock News - Quiver Quantitative",Quiver Quantitative,2026-08-31 07:00:00+00:00
https://news.google.com/rss/articles/CBMipgFBVV95cUxNbUJiQy1fRjIzX2FOWWpJZTFjQm82TlMyWWhtaE9ILWQ1ODM0em5hZ1phZVVJaGE3MDRPRjFmRjhSSGN2UXpUc3pkNW1MSFpweUVhbGFvRjBSM3FRS3NDYW9TZzU3UW15OEtCem5TSDZWeHZPaTBPMnVfa1p0T1JFUGoxenVnZGlpZjR4SjgtdXJFNzNhZVpvTVlCWEh0RFJ3eV9Xb0F3?oc=5,Government Sheds Light on Work happening at East Potomac Park - dcnewsnow.com,dcnewsnow.com,2026-09-03 07:00:00+00:00
https://news.google.com/rss/articles/CBMihwFBVV95cUxPOXZDZkxPZUt4aDJ5aENHeFRZWFJpc0lHV3RSdklqUzBMLWpiaGNYeXpWbVFqdXlBS2tabU5qOEZVOUhxU0xuenRMQW94U2M3LWxaZ0Rzbi10RHI2cmlxUTFYMXlfNEMtZzI2NktoQlktYWdxcG9VaUxUOEJUVUg1Z3RNNThqMkk?oc=5,Cyclists rally at Hains Point in East Potomac Park - Yahoo,Yahoo,2026-08-30 07:00:00+00:00
https://news.google.com/rss/articles/CBMi1gJBVV95cUxPeVBIZ1lIblIxUkV1UnNPdk5fQlA0ankyc2JqUGR3UEpUb3F3dnBQWG1wX3JQUFdRVk1jY1hSSUFCSzJ3MGRxeUVDZmxNQjVyQXZvNjNQN213WlhsRVVrRFFzOXE0N3o4OHFhbzNIU3pzTmFNSjE3U0c0Q1ZGUVZuSU5NT0dRNXpsOU1iVFRPU2lYNk1wcXNBUkhzQk9HUXZJSDcyRktqWXpRM3lma2l1S1U2ZEUzRDlreUpfVnliZlRTZnpMdkZJeHhldGJ2cGZWdW5aUEJHZUh6TUlKclVGQ01QSjZ1d192ZUtJRmFGaEJ2bEF2Vm5FOTNib0g5RjJ1a2MyMGNzQjZqNkQ5YnpRUXhSM01KNVJDRXYtcHNhTUtvVzVTOHE5RVpYcnRXNk5Wdk5iZTM3Tk81SXRBUDZHeW5aUm5NZHQ0dVlDLWpKeU5PNi1iMGc?oc=5,More than 60 trees removed at East Potomac Park: What happens next? - WJLA,WJLA,2026-09-02 09:02:46+00:00
https://news.google.com/rss/articles/CBMi5gFBVV95cUxPdnlRWm5lMXRIdkdlTG9FR0tVTFBvM0VISG5tRUVlRTB3TUhpcmRfR3Z5cjNfcEtYaW8teDU1Uk5FY3RVVkNIeGFzSHZlUVFiMTNXaElWWnhZUzZCbC1ST0RYLTdlOVBqaDY4cEFqT3RxU0JYYk9jVEFSUDBfUWR1SFU3QVlKNG12X3hraFp6UnYzRG56U0ZldTJYT2ZXTWwzT2NzdzhYdHFSd3BWcjAyWGZmUXptS1lyT0pOd2VGUkc0TjZfYXNDQzNaTDBvNnRMZlpoNWZYVTVpd2R0djVkUGRMTzY3dw?oc=5,Hundreds protest Trump’s East Potomac Park renovation plans - WUSA9,WUSA9,2026-08-29 07:00:00+00:00
https://news.google.com/rss/articles/CBMivwFBVV95cUxNNy1hNDhFbHgwcV9BbXl6ZTJmXy0zeEJPUXF5REVuQWYwOHRwdVFBcmlJRU9TYlJfa2hTck16SVlENjdWOFpNSGxGV1hEZFZPWlFXeHdYblJreDJrZjZrUkFmMmVfRFNHSGtSMmxZQ1B1a0pVN0M4VWFIckFLeVR6TlFrV21xaUZoRzRfS3NHVmg1cmFLLTFFV1U1M1NlTTB6M3NOdENCeHZOS3U2V3FUT1hmNnhYNzFQNVkyUTJwSQ?oc=5,East Potomac Park Golf Course - Dayton Daily News,Dayton Daily News,2026-09-01 20:57:12+00:00
